# x y z nx ny nz
0.099966 -0.016980 0.006778 0.348996 -0.247910 0.903738
0.079076 -0.014197 0.132085 -0.436519 0.802816 0.406125
0.149934 0.047616 0.080240 0.731321 0.681759 -0.019338
0.152293 0.018881 0.103123 0.969320 -0.245105 0.018528
0.081884 -0.036774 0.032869 0.113807 -0.989874 -0.084832
0.101718 -0.026390 -0.003917 0.424573 -0.902725 0.069461
0.079157 0.054076 -0.001713 -0.286143 0.955543 -0.071128
0.122540 0.038646 0.104580 -0.402527 0.904612 -0.140174
0.129103 -0.032013 0.108761 -0.264825 -0.201131 -0.943087
0.072535 0.059058 0.041609 0.119075 0.991011 0.060977
0.097764 0.042956 -0.004741 0.113061 0.079343 -0.990415
0.045647 0.007502 -0.005696 -0.028545 -0.605833 -0.795079
0.091738 0.018462 -0.005681 -0.149608 0.079322 -0.985558
0.054826 0.041029 -0.004860 -0.016225 0.032891 -0.999327
0.115325 0.000414 -0.006338 -0.002991 0.005381 -0.999981
0.139734 0.044658 0.104707 0.400583 0.654175 0.641552
0.148345 0.012143 0.064264 0.950508 -0.098346 0.294724
0.094479 -0.004475 0.083538 -0.363913 -0.419172 0.831782
0.108121 0.038494 0.019778 0.728737 0.684508 -0.019792
0.077971 -0.018552 0.147144 -0.318791 -0.079570 0.944479
0.030416 -0.015477 0.056421 -0.647720 -0.636620 0.418538
0.126991 -0.057005 0.126418 0.797513 -0.591402 -0.119234
0.048538 -0.029027 0.025268 -0.312318 -0.948876 -0.045730
0.024883 -0.009515 0.018864 -0.769466 -0.484137 -0.416574
0.092806 0.012556 0.086611 -0.267637 0.067194 0.961174
0.088383 -0.008237 0.117162 -0.250563 -0.499325 -0.829393
0.065986 -0.035705 0.037283 -0.224399 -0.953474 -0.201325
0.051478 0.046518 -0.003716 -0.164154 0.822739 -0.544201
0.108895 0.002905 0.092072 -0.759871 -0.531134 0.374824
0.019093 0.033133 0.016364 0.192392 0.935685 0.295768
0.001180 0.008703 0.025358 -0.920591 -0.331296 0.206773
0.141288 0.036645 0.110270 0.397383 0.496165 0.771950
0.105563 -0.010927 0.003744 0.786836 -0.243608 0.567048
0.089090 -0.007251 0.131707 -0.677014 0.723013 -0.137494
0.139653 -0.032726 0.126526 0.933476 0.303740 0.190692
0.110823 0.001159 0.125638 0.622919 0.051185 0.780610
0.134176 -0.026466 0.108835 0.672918 -0.104263 -0.732332
0.094431 0.045120 0.048704 0.139262 0.906557 -0.398448
0.116354 0.038446 -0.005363 -0.003981 0.013689 -0.999898
0.149863 0.013088 0.055947 0.993588 -0.111685 0.017586
0.101978 0.004995 0.121207 -0.710264 0.685020 -0.162093
0.130712 0.010894 -0.005281 0.501094 0.205206 -0.840711
0.153611 0.036207 0.081221 0.995018 -0.080386 0.058968
0.122765 0.039244 0.073590 -0.338723 0.782318 -0.522728
0.150450 0.040142 0.073715 0.623103 0.193734 -0.757766
0.113525 0.024414 0.102973 -0.957990 0.225196 0.177599
0.035726 0.006299 -0.005022 -0.193320 -0.131215 -0.972322
0.110647 -0.003064 0.122454 0.676108 -0.705281 0.213206
0.036275 0.016299 -0.005136 0.285560 -0.012509 -0.958279
0.109880 0.044421 -0.004880 -0.055374 0.157558 -0.985956
0.108214 0.039164 0.011741 0.344447 0.932032 0.112570
0.101031 -0.012604 -0.005912 -0.075623 0.055634 -0.995583
0.084312 -0.016502 0.142787 0.590608 -0.692172 0.414825
0.139071 0.053090 0.081852 0.457692 0.866713 -0.198312
0.098990 0.030673 -0.005695 -0.103238 0.041568 -0.993788
0.153170 0.042915 0.079609 0.903943 0.377790 -0.200407
0.077341 -0.002160 -0.001264 -0.020703 -0.023023 -0.999521
0.143470 0.018356 0.036390 0.718259 0.177215 -0.672829
0.137016 -0.024596 0.119727 0.736576 -0.322079 -0.594745
0.002617 0.017295 0.031033 -0.705546 0.118277 0.698724
0.048276 -0.019536 -0.004082 -0.373319 -0.481946 -0.792692
0.055435 0.057296 0.025903 -0.201828 0.977705 0.057944
0.128223 0.000750 0.023454 0.624275 -0.309103 -0.717451
0.072964 -0.018965 -0.005771 0.020332 0.244815 -0.969357
0.131555 0.053943 0.077381 -0.047944 0.906984 -0.418428
0.025872 -0.016104 0.042838 -0.596958 -0.789239 -0.144021
0.114693 -0.001223 0.114484 0.543350 -0.837863 0.052508
0.127314 -0.057465 0.140553 0.209984 -0.735717 0.643916
0.063907 -0.024001 0.059265 -0.081085 -0.341956 0.936211
0.129917 -0.003266 0.027939 0.495211 -0.493497 -0.715001
0.093918 -0.028222 -0.006218 0.083213 -0.426015 -0.900881
0.093154 -0.002711 0.136876 0.096315 0.719221 0.688073
