x y z
0.072069 -0.026848 0.135369
0.051236 0.028261 0.088553
0.042385 0.030440 0.084033
0.147165 0.017818 0.042626
0.149174 0.005521 0.093736
0.071702 -0.015413 0.127362
0.090932 -0.029400 0.032509
0.074622 0.003125 0.087965
0.122530 -0.025986 0.119507
0.132537 -0.041449 0.112978
0.134753 -0.038696 0.134765
0.138164 -0.025200 0.126103
0.135870 -0.006392 0.118932
0.081909 0.057576 0.042463
0.077040 -0.021012 0.146620
0.008409 0.030501 0.018108
0.125869 -0.055036 0.139523
0.037787 -0.024818 0.031068
0.128118 -0.054271 0.123493
0.073889 -0.017170 0.131619
0.094807 -0.020811 0.061138
0.095176 -0.010931 0.119547
0.048538 -0.029027 0.025268
0.131225 0.021241 0.023719
0.122323 0.037310 0.099777
0.091311 -0.007816 0.116099
0.069594 0.057012 0.026906
0.055238 -0.012413 0.080553
0.086728 0.006463 0.085797
0.127060 0.036338 0.112609
0.113482 0.038861 0.028179
0.150066 0.029896 0.106994
0.135462 0.023564 0.028666
0.061099 -0.034707 0.042009
0.046850 -0.018768 0.064191
0.095021 -0.002530 0.112460
0.128929 0.027865 0.025580
0.129445 -0.051119 0.117905
0.134846 -0.005379 0.073096
0.106713 0.001829 0.128532
0.104777 0.015314 0.089884
0.125386 -0.045802 0.116809
0.098127 0.011274 0.088116
0.077532 -0.037228 0.039230
0.048531 -0.014881 0.075222
0.086677 0.042303 0.025455
0.064055 0.045480 0.065808
0.084766 -0.002786 0.121984
0.135538 -0.025103 0.109949
0.025519 0.038788 0.021101
0.104309 0.044059 0.035680
0.080561 -0.027842 0.055736
0.144513 -0.003278 0.052603
0.056535 0.055192 0.054309
0.125181 0.020590 0.116279
0.052754 -0.016664 0.074596
0.025642 0.040030 0.031623
0.081884 -0.036774 0.032869
0.085666 -0.029029 0.019118
0.093660 -0.001109 0.132777
0.023283 0.020501 0.070115
0.110426 0.005819 0.123975
0.045255 0.055038 0.038892
0.039679 0.045384 0.062606
0.107233 0.027514 0.086177
0.135354 -0.024061 0.112832
0.135039 -0.013198 0.048272
0.018970 -0.006525 0.044012
0.128688 -0.006618 0.095914
0.130865 -0.054941 0.141134
0.133842 -0.033904 0.113274
0.092642 0.021291 0.085125
0.074332 0.038135 0.079312
0.133551 -0.026203 0.130070
0.151978 0.018794 0.108554
0.023353 -0.010918 0.034856
0.055435 0.057296 0.025903
0.145150 -0.000865 0.046345
0.008336 0.002509 0.027326
0.060401 0.058846 0.032861
0.042767 0.047114 0.062241
0.148859 0.010314 0.046759
0.140790 0.049171 0.099284
0.098959 0.033234 0.077659
0.123540 0.010466 0.019583
0.059998 0.057978 0.027486
0.150245 0.016882 0.054021
0.134828 -0.021612 0.108883
0.152068 0.020725 0.107542
0.128957 -0.057087 0.140362
0.089035 -0.033797 0.038225
0.027419 0.041564 0.031808
0.053657 0.056656 0.023091
0.147197 0.002907 0.050039
0.037476 0.043248 0.063338
0.040792 -0.020369 0.059623
0.082634 -0.023197 0.057664
0.100994 0.004272 0.122511
0.079591 -0.018708 0.146879
0.122678 -0.056042 0.134350
0.144127 0.032282 0.071056
0.044562 -0.021428 0.058259
0.035817 -0.023332 0.038193
0.046596 -0.028601 0.025666
0.023830 0.012169 0.071623
0.125426 0.039175 0.109767
0.070481 -0.024176 0.136118
0.152477 0.042211 0.077032
0.078498 -0.016702 0.143889
0.129451 0.044460 0.047296
0.124500 -0.058851 0.127444
0.137014 0.020500 0.028935
